16:11:26	r	b	swpd	free	buff	cache	si	so	bi	bo	in	cs	us	sy	id	wa	st
16:12:54	0	0	0	4375560	160288	2814736	0	0	0	0	106	154	0	0	100	0	0
16:12:55	0	0	0	4375544	160288	2814736	0	0	0	0	111	162	0	0	100	0	0
16:12:56	0	0	0	4375668	160288	2814736	0	0	0	0	226	171	0	0	100	0	0
16:12:57	0	0	0	4375404	160288	2814736	0	0	0	16	64	101	0	0	100	0	0
16:12:58	0	0	0	4375404	160288	2814736	0	0	0	0	77	88	0	0	100	0	0
16:12:59	0	0	0	4375420	160288	2814736	0	0	0	0	61	93	0	0	100	0	0
16:13:00	0	0	0	4375420	160288	2814736	0	0	0	0	50	86	0	0	100	0	0
16:13:01	0	0	0	4375420	160288	2814736	0	0	0	4	59	95	0	0	100	0	0
16:13:02	0	0	0	4375420	160288	2814736	0	0	0	0	55	86	0	0	100	0	0
16:13:03	0	0	0	4375420	160288	2814736	0	0	0	20	60	99	0	0	100	0	0
16:13:04	0	0	0	4375420	160288	2814736	0	0	0	0	51	83	0	0	100	0	0
16:13:05	0	0	0	4375420	160288	2814736	0	0	0	0	61	93	0	0	100	0	0
16:13:06	0	0	0	4375420	160288	2814736	0	0	0	0	51	84	0	0	100	0	0
16:13:07	0	0	0	4375420	160288	2814736	0	0	0	0	57	91	0	0	100	0	0
16:13:08	0	0	0	4375420	160288	2814736	0	0	0	0	57	100	0	0	100	0	0
16:13:09	0	0	0	4375420	160288	2814736	0	0	0	16	75	103	0	0	100	0	0
16:13:10	0	0	0	4375420	160288	2814736	0	0	0	0	58	85	0	0	100	0	0
16:13:11	0	0	0	4375420	160288	2814736	0	0	0	0	65	91	0	0	100	0	0
16:13:12	0	0	0	4375420	160288	2814736	0	0	0	0	48	80	0	0	100	0	0
16:13:13	0	0	0	4375420	160288	2814736	0	0	0	0	60	95	0	0	100	0	0
16:13:14	0	0	0	4375420	160288	2814736	0	0	0	0	49	85	0	0	100	0	0
16:13:15	0	0	0	4375420	160288	2814736	0	0	0	16	64	101	0	0	100	0	0
16:13:16	0	0	0	4375420	160288	2814736	0	0	0	0	48	83	0	0	100	0	0
16:13:17	0	0	0	4375420	160288	2814736	0	0	0	0	59	91	0	0	100	0	0
16:13:18	0	0	0	4375420	160288	2814736	0	0	0	0	48	79	0	0	100	0	0
16:13:19	0	0	0	4375420	160288	2814736	0	0	0	0	60	93	0	0	100	0	0
16:13:20	0	0	0	4375420	160288	2814736	0	0	0	0	57	98	0	0	100	0	0
16:13:21	0	0	0	4375420	160288	2814736	0	0	0	24	71	107	0	0	100	0	0
16:13:22	0	0	0	4375420	160288	2814736	0	0	0	0	65	98	0	0	100	0	0
16:13:23	0	0	0	4375420	160288	2814736	0	0	0	0	69	109	0	0	100	0	0
16:13:24	0	0	0	4375420	160288	2814736	0	0	0	0	219	332	0	0	100	0	0
16:13:25	0	0	0	4375420	160288	2814736	0	0	0	0	112	163	0	0	100	0	0
16:13:26	0	0	0	4375420	160288	2814736	0	0	0	0	75	103	0	0	100	0	0
16:13:27	0	0	0	4375420	160288	2814736	0	0	0	16	75	119	0	0	100	0	0
16:13:28	0	0	0	4375420	160288	2814736	0	0	0	0	46	79	0	0	100	0	0
16:13:29	0	0	0	4375420	160288	2814736	0	0	0	0	96	129	0	0	100	0	0
16:13:30	0	0	0	4375420	160288	2814736	0	0	0	0	64	98	0	0	100	0	0
16:13:31	0	0	0	4375420	160288	2814736	0	0	0	0	75	110	0	0	100	0	0
16:13:32	0	0	0	4375544	160288	2814736	0	0	0	0	193	217	0	0	100	0	0
16:13:33	0	0	0	4375404	160288	2814740	0	0	0	16	61	97	0	0	100	0	0
16:13:34	0	0	0	4375404	160288	2814740	0	0	0	0	50	83	0	0	100	0	0
16:13:35	0	0	0	4375420	160288	2814740	0	0	0	0	75	117	0	0	100	0	0
16:13:36	0	0	0	4375420	160288	2814740	0	0	0	4	93	142	0	0	100	0	0
16:13:37	0	0	0	4375420	160288	2814740	0	0	0	0	130	181	0	0	100	0	0
16:13:38	0	0	0	4375420	160288	2814740	0	0	0	0	177	149	0	0	100	0	0
16:13:39	0	0	0	4375560	160288	2814740	0	0	0	24	70	105	0	0	100	0	0
16:13:40	0	0	0	4375436	160288	2814740	0	0	0	0	50	81	0	0	100	0	0
16:13:41	0	0	0	4375420	160288	2814740	0	0	0	0	58	90	0	0	100	0	0
16:13:42	0	0	0	4375420	160288	2814740	0	0	0	0	70	97	0	0	100	0	0
16:13:43	0	0	0	4375420	160288	2814740	0	0	0	0	113	143	0	0	100	0	0
16:13:44	0	0	0	4375420	160288	2814740	0	0	0	0	96	153	0	0	100	0	0
16:13:45	0	0	0	4375420	160288	2814740	0	0	0	16	84	121	0	0	100	0	0
16:13:46	0	0	0	4375420	160288	2814740	0	0	0	0	112	174	0	0	100	0	0
16:13:47	0	0	0	4375172	160288	2814740	0	0	0	0	215	299	0	0	99	0	0
16:13:48	0	0	0	4375048	160288	2814740	0	0	0	0	47	79	0	0	100	0	0
16:13:49	0	0	0	4375048	160288	2814740	0	0	0	0	60	93	0	0	100	0	0
16:13:50	0	0	0	4375048	160288	2814740	0	0	0	0	53	83	0	0	100	0	0
16:13:51	0	0	0	4375048	160288	2814740	0	0	0	16	64	103	0	0	100	0	0
16:13:52	0	0	0	4375048	160288	2814740	0	0	0	0	48	80	0	0	100	0	0
16:13:53	0	0	0	4375048	160288	2814740	0	0	0	0	58	89	0	0	100	0	0
16:13:54	0	0	0	4375048	160288	2814740	0	0	0	0	50	83	0	0	100	0	0
16:13:55	0	0	0	4375048	160288	2814740	0	0	0	0	59	91	0	0	100	0	0
16:13:56	0	0	0	4375048	160288	2814740	0	0	0	0	60	103	0	0	100	0	0
16:13:57	0	0	0	4375048	160288	2814740	0	0	0	16	92	149	0	0	100	0	0
16:13:58	r	b	swpd	free	buff	cache	si	so	bi	bo	in	cs	us	sy	id	wa	st
16:13:58	1	0	0	4375560	160288	2814740	0	0	0	0	1	1	0	0	100	0	0
16:13:59	0	0	0	4375544	160288	2814740	0	0	0	0	114	90	0	0	100	0	0
16:14:00	0	0	0	4375420	160288	2814740	0	0	0	8	114	179	0	0	100	0	0
16:14:01	0	0	0	4375420	160288	2814740	0	0	0	0	77	111	0	0	100	0	0
16:14:02	0	0	0	4375420	160288	2814740	0	0	0	20	115	149	0	0	100	0	0
16:14:03	0	0	0	4375420	160288	2814740	0	0	0	0	103	160	0	0	100	0	0
16:14:04	0	0	0	4375420	160288	2814740	0	0	0	0	59	92	0	0	100	0	0
16:14:05	0	0	0	4375420	160288	2814740	0	0	0	4	64	99	0	0	100	0	0
16:14:06	0	0	0	4375420	160288	2814740	0	0	0	0	126	129	0	0	100	0	0
16:14:07	0	0	0	4375436	160288	2814740	0	0	0	0	83	128	0	0	100	0	0
16:14:08	0	0	0	4375436	160288	2814740	0	0	0	16	204	346	0	0	100	0	0
16:14:09	0	0	0	4375436	160288	2814740	0	0	0	0	86	130	0	0	100	0	0
16:14:10	0	0	0	4375436	160288	2814740	0	0	0	0	95	130	0	0	100	0	0
16:14:11	0	0	0	4375436	160288	2814740	0	0	0	0	49	77	0	0	100	0	0
16:14:12	0	0	0	4375436	160288	2814740	0	0	0	0	66	105	0	0	100	0	0
16:14:13	0	0	0	4375436	160288	2814740	0	0	0	0	52	83	0	0	100	0	0
16:14:14	0	0	0	4375436	160288	2814740	0	0	0	16	64	101	0	0	100	0	0
